Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
1,3/18/2025,goldenboutique,Tory Burch Black Crossbody,,,SOLD AS IS.  NO CANCELLATION or RETURN. BID RESPONSIBLY THANK YOU,, $ 120.02 , $ 210.00 , $ 160.00 , $ 141.65 , $ 18.35 ,11%,5/9/2025,  52.00 
2,3/18/2025,goldenboutique,MCM Black Cloth Logo Backpack,,,SOLD AS IS.  NO CANCELLATION or RETURN. BID RESPONSIBLY THANK YOU,, $ 108.04 , $ 275.00 ,,, $ -   ,0%,,  140.00 
3,3/17/2025,kreamhouse,Pink Chloe Wallet with Lock,,,100% Authentic Guaranteed - Please listen to conditions and call outs.  All sales are final.,, $ 77.44 , $ 225.00 ,,, $ -   ,0%,,  141.00 
4,3/17/2025,goldpawnership,YSL Beaute Pouch (Pink) #8,,,No cancelations or returns.,, $ 43.34 ,,,, $ -   ,0%,,  141.00 
5,3/18/2025,kreamhouse,Louis Vuitton Push Lock Wallet Koala,,,,, $ 120.98 , $ 350.00 , $ 300.00 , $ 240.00 , $ 60.00 ,20%,3/22/2025,  4.00 
6,3/16/2025,cookie31021,Morroccan Oil Makeup Bag,,,Morroccan Oil Makeup Bag,, $ 28.11 , $ 50.00 , $ 9.00 , $ 7.70 , $ 1.30 ,14%,7/10/2025,  116.00 
8,3/16/2025,jessicaluxuryclosetdealsllc,DKNY Neon Yellow Crossbody,,,,, $ 107.81 , $ 165.00 ,,, $ -   ,0%,,  142.00 
9,3/16/2025,jessicaluxuryclosetdealsllc,Furla Cream and Brown Purse with Black Bangle strap,,,,, $ 134.18 , $ 160.00 ,,, $ -   ,0%,,  142.00 
10,3/16/2025,silhouetteparis,Badgley Mischka Clutch Purse #5,,,Wrapped Clutch Purse with Crossbody Strap (BM-4147 Green),, $ 30.72 , $ 60.00 , $ 23.00 , $ 20.08 , $ 2.92 ,13%,7/27/2025,  133.00 
12,3/16/2025,house_of_luxury,Louis Vuitton Damier Ebene Long Wallet with Double Snap,,,Listen For the Callouts and Condition,, $ 89.53 ,, $ 22.00 , $ 20.03 , $ 1.97 ,9%,7/5/2025,  111.00 
14,3/14/2025,limitlessluxx_,Chanel Black Caviar Mini Wallet ,,,Missing Holo,, $ 74.85 , $ 200.00 , $ 135.00 , $ 108.00 , $ 27.00 ,20%,7/19/2025,  127.00 
15,3/14/2025,panandpiperscloset,Louis Vuitton Cream Vernis Mini Zippy Wallet,,,Condition shown,, $ 100.42 , $ 225.00 , $ 66.00 , $ 60.79 , $ 5.21 ,8%,7/4/2025,  112.00 
